date,AGG,DBC,VIX,VTI
1/1/2018,109.0400009,16.70999908,9.220000267,140.3699951
1/2/2018,108.7399979,16.96999931,10.15999985,142.75
1/3/2018,108.1800003,16.87999916,11.27000046,143.9199982
1/4/2018,108.3700027,17.25,11.07999992,146.8600006
1/5/2018,107.1999969,16.98999977,17.30999947,141.3000031
1/6/2018,106.7600021,16.12999916,29.05999947,134.2299957
1/7/2018,106.8000031,16.56999969,19.45999908,140.1100006
1/8/2018,106.6299973,16.86000061,16.48999977,140.8600006
1/9/2018,106.4599991,16.62999916,19.59000015,138.2400055
1/10/2018,106.3700027,16.67000008,14.64000034,143.3000031
1/11/2018,106.6999969,16.63999939,15.80000019,141.6600037
1/12/2018,106.6100006,16.95999908,24.87000084,133.1000061
1/13/2018,107.25,16.97999954,19.96999931,135.7200012
1/14/2018,106.9100037,16.72999954,21.48999977,133.8699951
1/15/2018,106.8000031,17.29999924,17.40999985,136.5800018
1/16/2018,106,17.46999931,16.87999916,137.5
1/17/2018,105.9800034,17.47999954,15.40999985,137.3300018
1/18/2018,105.8600006,17.69000053,14.77000046,137.1300049
1/19/2018,105.8600006,17.87000084,12.64999962,140.5700073
1/20/2018,105.3000031,18.14999962,13.42000008,140.1999969
1/21/2018,106.1200027,18.02000046,13.22000027,140.6000061
1/22/2018,106.0800018,17.90999985,13.46000004,141.5
1/23/2018,105.75,17.85000038,12.18000031,143.9100037
1/24/2018,105.8799973,17.27000046,11.97999954,144.1499939
1/25/2018,105.9400024,17.43000031,13.77000046,142.4499969
1/26/2018,106.3199997,17.68000031,16.09000015,140.4299927
1/27/2018,106.4199982,17.46999931,13.36999989,142.7899933
1/28/2018,106.5100021,17.03000069,12.18000031,144.6999969
1/29/2018,106.2699966,16.94000053,12.85999966,144.8399963
1/30/2018,106.0800018,17.25,13.02999973,145.2200012
1/31/2018,105.9700012,17.15999985,11.64000034,146.2700043
2/1/2018,106.2300034,17.04000092,13.15999985,146.25
2/2/2018,106.4599991,16.80999947,12.64000034,147.1699982
2/3/2018,106.7300034,17.20999908,11.98999977,148.6799927
2/4/2018,106.4100037,17.37999916,12.85999966,150.0700073
2/5/2018,105.8099976,17.14999962,14.88000011,148.5800018
2/6/2018,105.6699982,17.20000076,12.06999969,150.2799988
2/7/2018,105.4599991,17.48999977,11.68000031,151.1600037
2/8/2018,105.5199966,17.96999931,12.11999989,149.6499939
2/9/2018,104.3300018,18.29999924,14.81999969,147.6300049
2/10/2018,104.75,17.88999939,21.30999947,141.3699951
2/11/2018,104.3700027,17.75,19.88999939,141.3500061
2/12/2018,104.9000015,17.45999908,24.15999985,135.7700043
2/13/2018,104.0299988,16.79999924,19.51000023,139.5599976
2/14/2018,104.1399994,16.39999962,17.36000061,142.1699982
2/15/2018,104.6600037,16.12000084,18.13999939,140.0800018
2/16/2018,104.6500015,15.30000019,21.52000046,135.1300049
2/17/2018,104.8799973,15.28999996,18.06999969,141.3500061
2/18/2018,105.4800034,15.69999981,23.22999954,134.8999939
2/19/2018,105.5599976,15.44999981,21.62999916,133.1199951
2/20/2018,105.7900009,14.73999977,30.11000061,123.4899979
2/21/2018,106.2200012,14.44999981,28.34000015,126.4300003
2/22/2018,106.6900024,14.85000038,21.37999916,128.8999939
2/23/2018,106.5500031,15.31999969,18.19000053,132.8399963
2/24/2018,106.3499985,15.56000042,17.79999924,136.6499939
2/25/2018,106.6800003,15.55000019,17.42000008,136.4700012
2/26/2018,106.9700012,15.65999985,16.13999939,138.7299957
2/27/2018,107.3399963,15.48999977,15.72000027,138.9700012
2/28/2018,107.3000031,15.90999985,14.90999985,142.7400055
3/1/2018,107.4000015,16.09000015,13.51000023,143.7700043
3/2/2018,106.6299973,15.77999973,13.56999969,144.4199982
3/3/2018,107.4300003,15.77000046,16.04999924,140.9900055
3/4/2018,107.6999969,15.92000008,12.88000011,145.0099945
3/5/2018,108.6200027,15.93999958,16.47999954,143.5599976
3/6/2018,109.0699997,15.89999962,13.71000004,144.7100067
3/7/2018,108.3899994,16.17000008,12.81999969,147.7799988
3/8/2018,108.2699966,16.30999947,12.01000023,148.6799927
3/9/2018,108.1900024,16.20999908,12.09000015,148.2700043
3/10/2018,108.7099991,16.03000069,12.72999954,150.1600037
3/11/2018,108.3399963,15.86999989,12.86999989,150.6300049
3/12/2018,108.6699982,15.68999958,16.04000092,147.5299988
3/13/2018,109.0299988,15.89999962,15.96000004,146.2400055
3/14/2018,109.4100037,15.63000011,15.85000038,144.5800018
3/15/2018,110.4000015,15.13000011,18.70999908,140.6900024
3/16/2018,110.5299988,15.17000008,16.29999924,146.7899933
3/17/2018,110.5699997,15.27000046,15.27999973,147.6300049
