Date,y_true,Arima,LSTM,ANN,SVR,Arima + LSTM,Arima + ANN,Arima + SVR,return,Arima_return,LSTM_return,ANN_return,SVR_return,Arima + LSTM_return,Arima + ANN_return,Arima + SVR_return
1/1/2018,109.0400009,109.4016193,109.3887502,109.3527162,109.3298318,109.4955371,109.3402341,109.399198,,,,,,,,
1/8/2018,108.7399979,109.2888085,109.2970297,109.3297192,109.1966127,109.1068297,109.1477904,109.2054365,-0.300003052,-0.112810803,-0.091720445,-0.022997018,-0.13321915,-0.388707382,-0.19244373,-0.193761521
1/15/2018,108.1800003,109.2888085,108.8907623,108.7912424,109.0050034,108.6771943,109.0552092,109.1547154,-0.559997559,0,-0.406267379,-0.538476791,-0.191609283,-0.429635346,-0.092581198,-0.050721134
1/22/2018,108.3700027,109.2888085,108.5450024,108.5539917,108.6316739,108.9315318,108.949104,108.948196,0.190002441,0,-0.345759922,-0.237250673,-0.373329504,0.25433743,-0.106105179,-0.206519394
1/29/2018,107.1999969,109.2888085,108.5389153,108.5183373,108.508273,108.0586752,108.8763227,109.0206893,-1.170005798,0,-0.00608713,-0.035654436,-0.123400881,-0.872856617,-0.072781295,0.072493293
2/5/2018,106.7600021,107.5839567,107.1828895,107.6660857,107.5352692,107.0184674,107.1704578,107.0482415,-0.439994812,-1.704851792,-1.356025815,-0.852251595,-0.973003795,-1.04020779,-1.705864893,-1.972447778
2/12/2018,106.8000031,107.7454513,106.8361737,107.1603667,107.3685395,106.9793831,107.1918978,107.4389518,0.040000916,0.161494621,-0.346715821,-0.505718955,-0.166729758,-0.039084307,0.021439948,0.390710326
2/19/2018,106.6299973,107.7454513,107.2548689,107.375058,107.4872945,106.6623506,107.2282564,107.0857763,-0.170005798,0,0.418695234,0.21469127,0.118755031,-0.317032456,0.036358595,-0.353175546
2/26/2018,106.4599991,107.7454513,106.7768065,106.8821035,107.2877889,106.5161562,107.2249661,107.0118055,-0.169998169,0,-0.478062436,-0.492954485,-0.199505637,-0.146194458,-0.003290296,-0.073970757
3/5/2018,106.3700027,107.7454513,106.4398002,106.77123,106.9965537,106.7850409,107.2199363,106.8233936,-0.089996338,0,-0.33700626,-0.110873451,-0.291235208,0.268884778,-0.005029798,-0.188411962
3/12/2018,106.6999969,106.4023535,106.352034,106.7790728,106.9188617,106.5235101,105.6627384,105.3448004,0.329994202,-1.343097765,-0.087766189,0.007842803,-0.077691966,-0.261530835,-1.557197828,-1.47859313
3/19/2018,106.6100006,106.4097258,106.5846349,107.0041741,107.033949,106.5548299,106.3043265,105.8685977,-0.089996338,0.007372328,0.23260092,0.225101285,0.115087339,0.031319805,0.641588063,0.523797226
