Date,y_true,Arima,LSTM,ANN,SVR,Arima + LSTM,Arima + ANN,Arima + SVR,return,Arima_return,LSTM_return,ANN_return,SVR_return,Arima + LSTM_return,Arima + ANN_return,Arima + SVR_return
1/1/2018,16.70999908,16.61000061,16.5858365,17.2817539,16.37193642,16.83649878,16.80878834,16.94481521,,,,,,,,
1/8/2018,16.96999931,16.61000061,16.74451897,16.56696172,16.42992003,16.21005026,16.99882901,16.81142566,0.260000229,0,0.158682476,-0.714792182,0.057983609,-0.626448527,0.190040663,-0.133389551
1/15/2018,16.87999916,16.61000061,16.71579446,16.9871116,16.54889571,16.56941563,17.06180549,16.78557606,-0.090000153,0,-0.028724513,0.420149877,0.118975676,0.359365374,0.06297648,-0.025849596
1/22/2018,17.25,16.61000061,17.09918094,16.75067261,16.5141556,17.12114561,16.99726874,16.80651341,0.370000839,0,0.383386477,-0.236438982,-0.034740109,0.551729977,-0.06453675,0.020937349
1/29/2018,16.98999977,16.61000061,17.26922105,16.98296855,16.74868248,16.69337812,16.92932948,16.97314694,-0.260000229,0,0.17004011,0.232295934,0.23452688,-0.427767485,-0.067939252,0.166633534
2/5/2018,16.12999916,16.98999977,17.13915827,16.72425068,16.63334717,16.67930958,17.35619059,17.29163553,-0.86000061,0.379999161,-0.130062771,-0.258717867,-0.115335304,-0.014068544,0.426861107,0.318488586
2/12/2018,16.56999969,16.98999977,16.47275598,16.08638263,16.07652637,16.68884048,16.52506664,16.47934966,0.440000534,0,-0.666402298,-0.637868055,-0.556820804,0.009530902,-0.831123948,-0.812285868
2/19/2018,16.86000061,16.98999977,16.12628094,16.47057974,16.22489657,17.17321949,16.81901419,16.53834304,0.290000916,0,-0.34647504,0.384197117,0.148370197,0.484379008,0.293947548,0.058993375
2/26/2018,16.62999916,16.98999977,16.52443529,17.13117773,16.56355761,16.75564197,16.70342335,17.21235071,-0.23000145,0,0.398154352,0.660597981,0.338661038,-0.41757752,-0.115590841,0.67400767
3/5/2018,16.67000008,16.98999977,16.38646187,16.28581668,16.45597602,16.77730462,16.67280486,17.15059281,0.040000916,0,-0.137973415,-0.845361042,-0.10758159,0.021662652,-0.030618489,-0.061757892
3/12/2018,16.63999939,16.67000008,16.57718601,16.57406093,16.36182529,16.21423364,16.70105798,16.70377842,-0.030000687,-0.319999695,0.19072414,0.288244244,-0.094150722,-0.563070983,0.028253116,-0.446814395
3/19/2018,16.95999908,16.67000008,16.5457349,16.47266174,16.3752941,16.62184414,16.75022126,16.82876561,0.319999695,0,-0.031451111,-0.101399188,0.013468809,0.407610506,0.049163282,0.124987187
3/26/2018,16.97999954,16.67000008,16.48323885,16.72351414,16.59082672,16.65371379,16.95016748,17.03737479,0.020000458,0,-0.062496054,0.250852396,0.215532622,0.03186965,0.199946217,0.20860918
4/2/2018,16.72999954,16.67000008,16.93072112,16.74733612,16.63156087,16.59870839,17.20281237,17.1100941,-0.25,0,0.447482271,0.023821982,0.040734149,-0.055005401,0.252644897,0.072719311
4/9/2018,17.29999924,16.67000008,16.98155409,16.43514953,16.77642652,17.10778856,17.04055515,16.8535231,0.569999695,0,0.050832972,-0.31218659,0.144865644,0.509080172,-0.162257224,-0.256571
4/16/2018,17.46999931,17.29999924,17.14112938,16.91877463,17.11595145,17.94279033,17.34860103,17.75680768,0.170000076,0.629999161,0.159575287,0.483625101,0.339524934,0.835001767,0.308045883,0.903284582
4/23/2018,17.47999954,17.29999924,17.48473058,17.28150779,17.39347638,17.48645957,17.42972504,17.52710971,0.010000229,0,0.343601203,0.362733161,0.277524929,-0.456330761,0.081124004,-0.229697965
