Date,y_true,Arima,LSTM,ANN,SVR,Arima + LSTM,Arima + ANN,Arima + SVR,return,Arima_return,LSTM_return,ANN_return,SVR_return,Arima + LSTM_return,Arima + ANN_return,Arima + SVR_return
1/1/2018,9.220000267,11.16240996,10.91319291,10.51245846,10.90342422,8.882904708,9.975077688,10.22798023,,,,,,,,
1/8/2018,10.15999985,11.06919876,10.85411343,10.28405833,9.991939745,10.04559306,9.540315781,10.07678651,0.93999958,-0.0932112,-0.059079484,-0.228400129,-0.911484478,1.162688349,-0.434761907,-0.151193717
1/15/2018,11.27000046,11.01775087,10.84255834,10.43359047,10.54172956,9.926786907,9.849005349,10.04453083,1.11000061,-0.051447894,-0.011555087,0.149532148,0.549789811,-0.118806149,0.308689569,-0.032255682
1/22/2018,11.07999992,11.01775087,10.1353995,10.80214703,11.18275332,10.79403044,9.950458534,10.11380029,-0.190000534,0,-0.707158836,0.368556559,0.641023761,0.867243528,0.101453185,0.069269459
1/29/2018,17.30999947,11.01775087,11.28532314,11.09960451,10.88780749,16.09252322,9.93045307,10.05369121,6.229999542,0,1.149923632,0.297457476,-0.294945825,5.298492789,-0.020005465,-0.06010908
2/5/2018,29.05999947,14.23793844,16.14063843,15.36938024,14.10866537,27.40240911,15.11842999,14.42875213,11.75,3.22018757,4.855315292,4.269775732,3.22085788,11.30988588,5.187976922,4.375060925
2/12/2018,19.45999908,11.78746044,15.77803021,16.44616131,20.12440519,18.96858942,13.8317691,11.37870586,-9.600000381,-2.450477995,-0.362608223,1.076781065,6.015739814,-8.433819689,-1.286660888,-3.050046269
2/19/2018,16.48999977,11.03925276,14.06445318,18.04303027,16.04077658,16.12235117,10.67445791,12.10267594,-2.969999313,-0.748207679,-1.713577024,1.596868961,-4.083628605,-2.846238246,-3.157311192,0.723970077
2/26/2018,19.59000015,11.03925276,21.60010938,23.40652805,16.14748991,17.99788428,9.646170024,13.59386146,3.100000381,0,7.535656199,5.363497785,0.106713328,1.875533104,-1.028287888,1.491185524
3/5/2018,14.64000034,11.03925276,17.38422923,26.3068369,18.40289695,14.39560152,10.27265114,15.58570391,-4.949999809,0,-4.215880153,2.900308842,2.255407043,-3.602282763,0.626481116,1.991842447
3/12/2018,15.80000019,15.0674183,15.21240642,16.40000895,14.62781842,15.30357506,13.85938069,15.87531398,1.159999847,4.028165538,-2.171822802,-9.906827945,-3.775078529,0.907973547,3.586729545,0.289610069
3/19/2018,24.87000084,16.73856357,15.27615774,14.61592024,14.65029231,20.97139934,14.81645492,18.52800389,9.070000648,1.671145271,0.06375132,-1.784088705,0.022473888,5.667824279,0.957074236,2.652689906
3/26/2018,19.96999931,16.53341486,17.73442313,21.04539442,19.32363031,20.30956127,17.73617698,18.94995229,-4.900001526,-0.205148714,2.458265383,6.429474176,4.673337999,-0.661838072,2.919722063,0.421948406
4/2/2018,21.48999977,16.53341486,22.35934869,19.57449481,16.86581113,19.70268919,15.43236782,17.23682791,1.520000458,0,4.624925557,-1.470899611,-2.45781918,-0.606872082,-2.303809166,-1.713124378
4/9/2018,17.40999985,16.53341486,22.12654064,15.14391626,15.53359046,16.71709706,16.17868732,16.93096152,-4.079999924,0,-0.232808042,-4.430578551,-1.332220674,-2.985592127,0.746319503,-0.305866394
4/16/2018,16.87999916,16.71932663,19.94373423,21.5012069,15.99282576,18.65745856,16.8661806,20.07944667,-0.530000687,0.185911777,-2.182806416,6.357290644,0.459235299,1.940361502,0.687493282,3.148485153
4/23/2018,15.40999985,18.82115622,14.4346362,14.14855062,15.02456436,15.51762267,18.7603092,22.19737959,-1.469999313,2.10182959,-5.50909803,-7.352656287,-0.968261396,-3.139835893,1.8941286,2.117932914
4/30/2018,14.77000046,18.57629415,13.49961296,15.403591,15.79030592,13.27159569,16.01888177,19.10481684,-0.63999939,-0.24486207,-0.935023238,1.255040386,0.76574156,-2.246026984,-2.741427435,-3.092562749
5/7/2018,12.64999962,18.57629415,13.70713234,13.87866294,14.83097778,10.56715128,16.53386399,15.57180203,-2.120000839,0,0.207519385,-1.524928059,-0.959328139,-2.704444408,0.514982224,-3.533014811
5/14/2018,13.42000008,18.57629415,11.65158615,13.67329674,12.79647306,13.41649553,15.94833943,15.50646375,0.770000458,0,-2.055546197,-0.205366201,-2.034504722,2.849344254,-0.585524559,-0.065338276
5/21/2018,13.22000027,14.5725664,16.32788508,13.35739416,13.00238482,11.01170243,12.13338817,13.83099451,-0.199999809,-4.003727751,4.676298937,-0.315902583,0.205911758,-2.404793101,-3.814951258,-1.675469238
5/28/2018,13.46000004,14.48328433,14.47620852,13.20643058,12.7366421,12.85235057,14.03326771,13.30402601,0.239999771,-0.089282073,-1.851676565,-0.150963585,-0.265742713,1.840648138,1.899879538,-0.526968501
6/4/2018,12.18000031,14.47060287,12.72272844,12.93041628,12.82761259,12.01521885,14.03804514,13.93201208,-1.279999733,-0.012681462,-1.753480082,-0.276014296,0.090970482,-0.837131717,0.004777423,0.627986062
6/11/2018,11.97999954,14.47060287,15.61202621,12.69089321,12.23191972,11.65615308,13.79108357,14.12349827,-0.200000763,0,2.889297775,-0.23952307,-0.595692863,-0.359065771,-0.246961564,0.191486191
6/18/2018,13.77000046,14.47060287,12.25249371,12.02673607,11.98085152,14.61083018,13.79855632,13.50156861,1.790000916,0,-3.359532499,-0.664157139,-0.251068202,2.954677105,0.007472754,-0.621929656
6/25/2018,16.09000015,13.53739487,13.58487732,12.46786002,12.79723969,13.85175108,12.56092988,12.38095819,2.319999695,-0.933207999,1.332383607,0.441123951,0.816388167,-0.759079109,-1.237626444,-1.120610421
7/2/2018,13.36999989,13.14256006,11.6240344,14.20442296,13.99877209,12.30421167,14.04096477,12.55179059,-2.720000267,-0.394834812,-1.96084292,1.736562939,1.201532401,-1.547539408,1.480034893,0.170832396
7/9/2018,12.18000031,13.22903586,13.99691687,12.763029,12.70228974,10.53295804,13.5487055,13.26937424,-1.18999958,0.086475805,2.372882474,-1.441393965,-1.296482349,-1.77125363,-0.492259278,0.717583656
7/16/2018,12.85999966,13.22903586,12.44707543,13.31096892,12.23897657,12.09181453,12.42445571,12.77941732,0.679999352,0,-1.54984144,0.547939922,-0.463313166,1.558856487,-1.124249786,-0.489956918
7/23/2018,13.02999973,13.22903586,15.72135969,12.7380909,12.4044361,13.07547618,12.54216046,12.76968758,0.170000076,0,3.274284257,-0.572878019,0.165459529,0.983661652,0.117704749,-0.009729739
7/30/2018,11.64000034,13.0349202,12.06140897,12.44118416,12.51631918,14.56631897,12.16112659,12.07682079,-1.38999939,-0.194115665,-3.659950723,-0.296906742,0.111883072,1.490842793,-0.381033864,-0.692866794
8/6/2018,13.15999985,13.03774783,12.08980627,11.88798082,11.70574368,16.12599179,11.78641138,11.67219247,1.519999504,0.002827636,0.028397304,-0.553203334,-0.810575492,1.559672824,-0.374715217,-0.404628319
8/13/2018,12.64000034,13.03548754,13.6086228,12.61416813,12.38559924,14.31146158,12.37362762,12.57462387,-0.519999504,-0.002260288,1.518816529,0.726187306,0.679855554,-1.814530214,0.587216238,0.902431396
8/20/2018,11.98999977,13.03548754,12.24633291,12.42185362,12.11064752,13.21206666,12.32076622,12.23036079,-0.650000572,0,-1.362289891,-0.192314508,-0.274951718,-1.099394917,-0.052861392,-0.344263076
8/27/2018,12.85999966,13.03548754,11.95391824,12.15601538,11.91742823,11.95851637,12.00660683,12.00091969,0.869999886,0,-0.292414669,-0.26583824,-0.19321929,-1.253550291,-0.314159393,-0.229441102
9/3/2018,14.88000011,12.82487318,13.53507387,12.51213811,12.24002073,14.46724746,12.36165815,12.29083532,2.020000458,-0.210614367,1.581155633,0.356122729,0.322592501,2.508731084,0.355051325,0.289915634
9/10/2018,12.06999969,12.64874142,11.95617981,13.15937849,13.27537035,12.90084404,13.23548168,12.84442783,-2.81000042,-0.176131754,-1.578894062,0.647240379,1.035349619,-1.566403418,0.873823524,0.553592502
9/17/2018,11.68000031,12.67239578,12.86774153,12.33856511,12.11226612,11.58356734,12.32164084,11.98492141,-0.38999939,0.023654361,0.911561721,-0.820813378,-1.163104227,-1.317276697,-0.913840841,-0.859506416
9/24/2018,12.11999989,12.67239578,12.53488634,12.32493763,11.86883434,10.73235293,11.81730773,12.15003656,0.43999958,0,-0.332855192,-0.013627482,-0.243431786,-0.851214409,-0.504333109,0.165115148
10/1/2018,14.81999969,12.67239578,15.10784829,11.2581375,12.09348277,13.60191079,11.86976125,11.99444511,2.699999809,0,2.572961954,-1.066800129,0.224648436,2.869557858,0.052453518,-0.155591449
10/8/2018,21.30999947,14.20829778,13.40851178,12.19604123,13.20028013,19.58805614,14.86394858,13.94770553,6.489999771,1.535901999,-1.699336512,0.937903733,1.10679736,5.986145353,2.994187331,1.953260419
10/15/2018,19.88999939,13.39117808,12.49384825,19.09348163,16.38606476,19.0041718,17.30713219,14.01122475,-1.420000076,-0.817119703,-0.914663528,6.897440394,3.185784629,-0.583884344,2.443183616,0.063519223
10/22/2018,24.15999985,13.500177,13.98933625,21.12216228,16.22745552,24.90546761,16.95046411,16.90256314,4.270000458,0.108998922,1.495488001,2.028680657,-0.158609242,5.901295809,-0.356668087,2.89133839
10/29/2018,19.51000023,13.500177,18.8074127,15.79559289,18.99067257,19.92605934,17.91797505,20.02600742,-4.649999619,0,4.818076444,-5.326569399,2.763217051,-4.979408264,0.967510939,3.123444283
11/5/2018,17.36000061,13.500177,17.82870261,13.89663414,17.67647956,14.67071757,15.70801101,17.59142491,-2.149999619,0,-0.978710083,-1.898958751,-1.314193008,-5.255341768,-2.209964037,-2.43458251
11/12/2018,18.13999939,18.51458798,15.87059417,16.08163823,16.87304599,20.28328262,20.04162036,20.5102619,0.779998779,5.01441098,-1.958108447,2.185004092,-0.803433576,5.612565048,4.33360935,2.918836987
11/19/2018,21.52000046,18.77382697,14.83610795,17.0060685,16.64124837,18.90735771,17.91137107,18.23536906,3.380001068,0.259238989,-1.034486218,0.924430274,-0.231797618,-1.375924914,-2.130249291,-2.274892834
11/26/2018,18.06999969,18.76040498,18.97672678,16.68008154,17.46955743,20.66733304,19.99532071,18.67036056,-3.450000763,-0.013421991,4.140618837,-0.325986958,0.82830906,1.759975335,2.083949646,0.434991491
12/3/2018,23.22999954,18.76040498,16.45004923,18.80649188,16.44205699,22.64310304,17.82106469,17.69566837,5.159999847,0,-2.526677551,2.126410341,-1.027500438,1.975769997,-2.174256027,-0.974692182
12/10/2018,21.62999916,18.76040498,17.81740147,19.76277974,18.60241277,24.8432707,21.44540373,20.04427885,-1.600000381,0,1.367352239,0.956287857,2.160355775,2.200167656,3.624339044,2.348610473
12/17/2018,30.11000061,20.65335887,17.87020895,16.85719697,18.06969552,29.6800875,23.18026894,22.60545418,8.48000145,1.892953891,0.052807475,-2.905582773,-0.532717251,4.836816806,1.734865207,2.561175333
12/24/2018,28.34000015,20.86768989,26.7390553,26.24022878,21.71808688,28.06841878,26.76648168,25.506001,-1.770000458,0.214331019,8.868846351,9.383031811,3.64839136,-1.611668718,3.586212743,2.900546816
12/31/2018,21.37999916,20.86300038,20.26696406,22.11431641,21.45102633,21.3276922,25.96313857,25.97617274,-6.960000992,-0.004689513,-6.472091235,-4.125912365,-0.267060541,-6.740726588,-0.803343115,0.470171744
1/7/2019,18.19000053,20.86300038,16.9380418,22.28659838,19.68430874,18.20241068,21.1834987,21.87938487,-3.189998627,0,-3.32892226,0.172281964,-1.766717595,-3.125281513,-4.77963987,-4.09678787
1/14/2019,17.79999924,20.86300038,16.43702419,17.54200513,17.99613107,19.63647495,18.96578072,19.46185822,-0.390001297,0,-0.501017612,-4.744593251,-1.688177671,1.434064269,-2.217717975,-2.417526645
1/21/2019,17.42000008,19.53650671,17.24182221,17.20319248,16.83005439,16.69082767,17.80874449,16.51559932,-0.379999161,-1.326493667,0.804798016,-0.338812647,-1.166076676,-2.945647286,-1.157036232,-2.946258899
1/28/2019,16.13999939,20.30069852,15.9879808,14.43748022,16.143845,17.61108327,19.50562513,18.60193873,-1.280000687,0.764191809,-1.253841407,-2.765712258,-0.686209387,0.920255604,1.696880641,2.086339403
2/4/2019,15.72000027,20.42985943,14.23913508,14.99249578,15.33503206,19.51356343,19.10982672,17.87785328,-0.419999123,0.129160914,-1.748845721,0.555015557,-0.808812946,1.902480158,-0.395798412,-0.724085446
2/11/2019,14.90999985,20.42985943,13.342029,16.08366129,14.94988221,16.88180474,19.07533542,18.0890877,-0.81000042,0,-0.897106084,1.091165511,-0.385149845,-2.63175869,-0.034491301,0.211234423
2/18/2019,13.51000023,20.42985943,13.43774071,14.69211705,14.54518541,20.92738131,18.68888513,17.62537727,-1.399999619,0,0.095711712,-1.391544242,-0.404696807,4.045576572,-0.386450291,-0.463710435
2/25/2019,13.56999969,14.40030434,13.26421809,14.14057962,13.66578939,14.8469484,10.32610704,12.78381223,0.059999466,-6.029555098,-0.173522616,-0.551537422,-0.879396017,-6.080432907,-8.362778083,-4.841565039
3/4/2019,16.04999924,14.90348414,16.22011795,13.89658308,13.42582027,15.62241522,13.56513682,14.63299506,2.479999542,0.503179801,2.955899853,-0.243996545,-0.23996912,0.775466812,3.239029777,1.849182825
3/11/2019,12.88000011,14.97942828,14.32913828,14.95396353,14.42187878,12.85868882,13.76746057,15.76984124,-3.169999123,0.075944145,-1.890979669,1.057380447,0.996058513,-2.763726394,0.202323754,1.136846181
3/18/2019,16.47999954,14.97942828,15.10226871,12.17562956,12.93786837,16.44051813,12.99283289,12.31534759,3.599999428,0,0.773130436,-2.77833397,-1.484010414,3.581829309,-0.774627686,-3.454493647
3/25/2019,13.71000004,14.97942828,15.87080277,16.51609215,14.96011072,13.8415085,14.48634799,16.84376824,-2.769999504,0,0.768534056,4.340462591,2.022242354,-2.599009633,1.493515104,4.528420647
4/1/2019,12.81999969,13.87089042,12.88107892,13.12587919,13.52695265,12.1255788,12.33234028,12.93204894,-0.890000343,-1.108537865,-2.989723847,-3.390212956,-1.433158078,-1.715929699,-2.154007715,-3.911719296
4/8/2019,12.01000023,14.19804673,13.34410286,11.41800029,13.31867372,12.80912511,12.59276561,13.23901971,-0.809999466,0.327156311,0.463023941,-1.707878903,-0.208278923,0.683546311,0.260425335,0.306970773
