Date,processed_price,,,,,
2/16/2015,0.433355047,0.452672204,0.537668972,0.494526781,0.481004624,0.450740538
2/23/2015,0.41983289,0.433355047,0.452672204,0.537668972,0.494526781,0.481004624
3/2/2015,0.461686976,0.41983289,0.433355047,0.452672204,0.537668972,0.494526781
3/9/2015,0.365099718,0.461686976,0.41983289,0.433355047,0.452672204,0.537668972
3/16/2015,0.406310242,0.365099718,0.461686976,0.41983289,0.433355047,0.452672204
3/23/2015,0.469414133,0.406310242,0.365099718,0.461686976,0.41983289,0.433355047
3/30/2015,0.461043414,0.469414133,0.406310242,0.365099718,0.461686976,0.41983289
4/6/2015,0.476497238,0.461043414,0.469414133,0.406310242,0.365099718,0.461686976
4/13/2015,0.464906747,0.476497238,0.461043414,0.469414133,0.406310242,0.365099718
4/20/2015,0.491951062,0.464906747,0.476497238,0.461043414,0.469414133,0.406310242
4/27/2015,0.481004624,0.491951062,0.464906747,0.476497238,0.461043414,0.469414133
5/4/2015,0.406310242,0.481004624,0.491951062,0.464906747,0.476497238,0.461043414
5/11/2015,0.403090961,0.406310242,0.481004624,0.491951062,0.464906747,0.476497238
5/18/2015,0.39729547,0.403090961,0.406310242,0.481004624,0.491951062,0.464906747
5/25/2015,0.370895209,0.39729547,0.403090961,0.406310242,0.481004624,0.491951062
6/1/2015,0.395363804,0.370895209,0.39729547,0.403090961,0.406310242,0.481004624
6/8/2015,0.291049879,0.395363804,0.370895209,0.39729547,0.403090961,0.406310242
6/15/2015,0.292981546,0.291049879,0.395363804,0.370895209,0.39729547,0.403090961
6/22/2015,0.333548018,0.292981546,0.291049879,0.395363804,0.370895209,0.39729547
6/29/2015,0.269156512,0.333548018,0.292981546,0.291049879,0.395363804,0.370895209
7/6/2015,0.283966775,0.269156512,0.333548018,0.292981546,0.291049879,0.395363804
7/13/2015,0.28010295,0.283966775,0.269156512,0.333548018,0.292981546,0.291049879
7/20/2015,0.306503703,0.28010295,0.283966775,0.269156512,0.333548018,0.292981546
7/27/2015,0.327753018,0.306503703,0.28010295,0.283966775,0.269156512,0.333548018
8/3/2015,0.352221613,0.327753018,0.306503703,0.28010295,0.283966775,0.269156512
8/10/2015,0.332903965,0.352221613,0.327753018,0.306503703,0.28010295,0.283966775
8/17/2015,0.324533246,0.332903965,0.352221613,0.327753018,0.306503703,0.28010295
8/24/2015,0.368963542,0.324533246,0.332903965,0.352221613,0.327753018,0.306503703
8/31/2015,0.32002586,0.368963542,0.324533246,0.332903965,0.352221613,0.327753018
9/7/2015,0.337411351,0.32002586,0.368963542,0.324533246,0.332903965,0.352221613
9/14/2015,0.323889193,0.337411351,0.32002586,0.368963542,0.324533246,0.332903965
9/21/2015,0.338055403,0.323889193,0.337411351,0.32002586,0.368963542,0.324533246
9/28/2015,0.327108965,0.338055403,0.323889193,0.337411351,0.32002586,0.368963542
10/5/2015,0.370895209,0.327108965,0.338055403,0.323889193,0.337411351,0.32002586
10/12/2015,0.341275175,0.370895209,0.327108965,0.338055403,0.323889193,0.337411351
10/19/2015,0.369607103,0.341275175,0.370895209,0.327108965,0.338055403,0.323889193
10/26/2015,0.368319489,0.369607103,0.341275175,0.370895209,0.327108965,0.338055403
11/2/2015,0.349001841,0.368319489,0.369607103,0.341275175,0.370895209,0.327108965
11/9/2015,0.271732231,0.349001841,0.368319489,0.369607103,0.341275175,0.370895209
11/16/2015,0.291049879,0.271732231,0.349001841,0.368319489,0.369607103,0.341275175
11/23/2015,0.295557265,0.291049879,0.271732231,0.349001841,0.368319489,0.369607103
