Date,processed_price,,,,,
2/16/2015,0.980644967,0.944516096,0.864515998,0.850322619,0.883870785,0.907096628
2/23/2015,0.936773985,0.980644967,0.944516096,0.864515998,0.850322619,0.883870785
3/2/2015,0.963870884,0.936773985,0.980644967,0.944516096,0.864515998,0.850322619
3/9/2015,0.886451489,0.963870884,0.936773985,0.980644967,0.944516096,0.864515998
3/16/2015,0.806451637,0.886451489,0.963870884,0.936773985,0.980644967,0.944516096
3/23/2015,0.839999803,0.806451637,0.886451489,0.963870884,0.936773985,0.980644967
3/30/2015,0.836128993,0.839999803,0.806451637,0.886451489,0.963870884,0.936773985
4/6/2015,0.850322619,0.836128993,0.839999803,0.806451637,0.886451489,0.963870884
4/13/2015,0.869677406,0.850322619,0.836128993,0.839999803,0.806451637,0.886451489
4/20/2015,0.934193527,0.869677406,0.850322619,0.836128993,0.839999803,0.806451637
4/27/2015,0.941935393,0.934193527,0.869677406,0.850322619,0.836128993,0.839999803
5/4/2015,0.976774157,0.941935393,0.934193527,0.869677406,0.850322619,0.836128993
5/11/2015,0.970322397,0.976774157,0.941935393,0.934193527,0.869677406,0.850322619
5/18/2015,1,0.970322397,0.976774157,0.941935393,0.934193527,0.869677406
5/25/2015,0.940645041,1,0.970322397,0.976774157,0.941935393,0.934193527
6/1/2015,0.904515924,0.940645041,1,0.970322397,0.976774157,0.941935393
6/8/2015,0.886451489,0.904515924,0.940645041,1,0.970322397,0.976774157
6/15/2015,0.889032193,0.886451489,0.904515924,0.940645041,1,0.970322397
6/22/2015,0.870967758,0.889032193,0.886451489,0.904515924,0.940645041,1
6/29/2015,0.903225818,0.870967758,0.889032193,0.886451489,0.904515924,0.940645041
7/6/2015,0.909677332,0.903225818,0.870967758,0.889032193,0.886451489,0.904515924
7/13/2015,0.847741915,0.909677332,0.903225818,0.870967758,0.889032193,0.886451489
7/20/2015,0.793548363,0.847741915,0.909677332,0.903225818,0.870967758,0.889032193
7/27/2015,0.701935343,0.793548363,0.847741915,0.909677332,0.903225818,0.870967758
8/3/2015,0.649032144,0.701935343,0.793548363,0.847741915,0.909677332,0.903225818
8/10/2015,0.61032257,0.649032144,0.701935343,0.793548363,0.847741915,0.909677332
8/17/2015,0.597419296,0.61032257,0.649032144,0.701935343,0.793548363,0.847741915
8/24/2015,0.530322594,0.597419296,0.61032257,0.649032144,0.701935343,0.793548363
8/31/2015,0.596128944,0.530322594,0.597419296,0.61032257,0.649032144,0.701935343
9/7/2015,0.581935442,0.596128944,0.530322594,0.597419296,0.61032257,0.649032144
9/14/2015,0.584516023,0.581935442,0.596128944,0.530322594,0.597419296,0.61032257
9/21/2015,0.556129018,0.584516023,0.581935442,0.596128944,0.530322594,0.597419296
9/28/2015,0.574193453,0.556129018,0.584516023,0.581935442,0.596128944,0.530322594
10/5/2015,0.574193453,0.574193453,0.556129018,0.584516023,0.581935442,0.596128944
10/12/2015,0.6529032,0.574193453,0.574193453,0.556129018,0.584516023,0.581935442
10/19/2015,0.609032218,0.6529032,0.574193453,0.574193453,0.556129018,0.584516023
10/26/2015,0.554838666,0.609032218,0.6529032,0.574193453,0.574193453,0.556129018
11/2/2015,0.58064509,0.554838666,0.609032218,0.6529032,0.574193453,0.574193453
11/9/2015,0.544516096,0.58064509,0.554838666,0.609032218,0.6529032,0.574193453
11/16/2015,0.463225769,0.544516096,0.58064509,0.554838666,0.609032218,0.6529032
11/23/2015,0.449032267,0.463225769,0.544516096,0.58064509,0.554838666,0.609032218
11/30/2015,0.461935417,0.449032267,0.463225769,0.544516096,0.58064509,0.554838666
12/7/2015,0.450322496,0.461935417,0.449032267,0.463225769,0.544516096,0.58064509
