Date,processed_price,,,,,
2/16/2015,0.097539529,0.143233752,0.207908591,0.132161677,0.207557123,0.147803143
2/23/2015,0.090685409,0.097539529,0.143233752,0.207908591,0.132161677,0.207557123
3/2/2015,0.073813704,0.090685409,0.097539529,0.143233752,0.207908591,0.132161677
3/9/2015,0.106502626,0.073813704,0.090685409,0.097539529,0.143233752,0.207908591
3/16/2015,0.120562383,0.106502626,0.073813704,0.090685409,0.097539529,0.143233752
3/23/2015,0.068189808,0.120562383,0.106502626,0.073813704,0.090685409,0.097539529
3/30/2015,0.104217914,0.068189808,0.120562383,0.106502626,0.073813704,0.090685409
4/6/2015,0.097188044,0.104217914,0.068189808,0.120562383,0.106502626,0.073813704
4/13/2015,0.060456934,0.097188044,0.104217914,0.068189808,0.120562383,0.106502626
4/20/2015,0.083479788,0.060456934,0.097188044,0.104217914,0.068189808,0.120562383
4/27/2015,0.055360274,0.083479788,0.060456934,0.097188044,0.104217914,0.068189808
5/4/2015,0.062565895,0.055360274,0.083479788,0.060456934,0.097188044,0.104217914
5/11/2015,0.065377843,0.062565895,0.055360274,0.083479788,0.060456934,0.097188044
5/18/2015,0.056941999,0.065377843,0.062565895,0.055360274,0.083479788,0.060456934
5/25/2015,0.052548326,0.056941999,0.065377843,0.062565895,0.055360274,0.083479788
6/1/2015,0.08260105,0.052548326,0.056941999,0.065377843,0.062565895,0.055360274
6/8/2015,0.089103684,0.08260105,0.052548326,0.056941999,0.065377843,0.062565895
6/15/2015,0.081546561,0.089103684,0.08260105,0.052548326,0.056941999,0.065377843
6/22/2015,0.084710011,0.081546561,0.089103684,0.08260105,0.052548326,0.056941999
6/29/2015,0.0857645,0.084710011,0.081546561,0.089103684,0.08260105,0.052548326
7/6/2015,0.134446406,0.0857645,0.084710011,0.081546561,0.089103684,0.08260105
7/13/2015,0.135149376,0.134446406,0.0857645,0.084710011,0.081546561,0.089103684
7/20/2015,0.049384876,0.135149376,0.134446406,0.0857645,0.084710011,0.081546561
7/27/2015,0.080843574,0.049384876,0.135149376,0.134446406,0.0857645,0.084710011
8/3/2015,0.052372575,0.080843574,0.049384876,0.135149376,0.134446406,0.0857645
8/10/2015,0.074692442,0.052372575,0.080843574,0.049384876,0.135149376,0.134446406
8/17/2015,0.064850607,0.074692442,0.052372575,0.080843574,0.049384876,0.135149376
8/24/2015,0.331985943,0.064850607,0.074692442,0.052372575,0.080843574,0.049384876
8/31/2015,0.297188027,0.331985943,0.064850607,0.074692442,0.052372575,0.080843574
9/7/2015,0.327943738,0.297188027,0.331985943,0.064850607,0.074692442,0.052372575
9/14/2015,0.247100181,0.327943738,0.297188027,0.331985943,0.064850607,0.074692442
9/21/2015,0.230931462,0.247100181,0.327943738,0.297188027,0.331985943,0.064850607
9/28/2015,0.254481553,0.230931462,0.247100181,0.327943738,0.297188027,0.331985943
10/5/2015,0.207381372,0.254481553,0.230931462,0.247100181,0.327943738,0.297188027
10/12/2015,0.139543049,0.207381372,0.254481553,0.230931462,0.247100181,0.327943738
10/19/2015,0.103866429,0.139543049,0.207381372,0.254481553,0.230931462,0.247100181
10/26/2015,0.093497357,0.103866429,0.139543049,0.207381372,0.254481553,0.230931462
11/2/2015,0.104217914,0.093497357,0.103866429,0.139543049,0.207381372,0.254481553
11/9/2015,0.091212645,0.104217914,0.093497357,0.103866429,0.139543049,0.207381372
11/16/2015,0.192267126,0.091212645,0.104217914,0.093497357,0.103866429,0.139543049
11/23/2015,0.111247801,0.192267126,0.091212645,0.104217914,0.093497357,0.103866429
11/30/2015,0.105096652,0.111247801,0.192267126,0.091212645,0.104217914,0.093497357
12/7/2015,0.099648506,0.105096652,0.111247801,0.192267126,0.091212645,0.104217914
12/14/2015,0.26801404,0.099648506,0.105096652,0.111247801,0.192267126,0.091212645
12/21/2015,0.20316345,0.26801404,0.099648506,0.105096652,0.111247801,0.192267126
12/28/2015,0.115992959,0.20316345,0.26801404,0.099648506,0.105096652,0.111247801
1/4/2016,0.159402437,0.115992959,0.20316345,0.26801404,0.099648506,0.105096652
1/11/2016,0.314059749,0.159402437,0.115992959,0.20316345,0.26801404,0.099648506
1/18/2016,0.3142355,0.314059749,0.159402437,0.115992959,0.20316345,0.26801404
1/25/2016,0.231985935,0.3142355,0.314059749,0.159402437,0.115992959,0.20316345
2/1/2016,0.194376104,0.231985935,0.3142355,0.314059749,0.159402437,0.115992959
2/8/2016,0.250263597,0.194376104,0.231985935,0.3142355,0.314059749,0.159402437
