Date,processed_price,,,,,
2/16/2015,0.124723769,0.105807484,0.077256232,0.100680623,0.085388452,0.096437687
2/23/2015,0.131883652,0.124723769,0.105807484,0.077256232,0.100680623,0.085388452
3/2/2015,0.129585392,0.131883652,0.124723769,0.105807484,0.077256232,0.100680623
3/9/2015,0.115795968,0.129585392,0.131883652,0.124723769,0.105807484,0.077256232
3/16/2015,0.110580762,0.115795968,0.129585392,0.131883652,0.124723769,0.105807484
3/23/2015,0.136126588,0.110580762,0.115795968,0.129585392,0.131883652,0.124723769
3/30/2015,0.110580762,0.136126588,0.110580762,0.115795968,0.129585392,0.131883652
4/6/2015,0.115177214,0.110580762,0.136126588,0.110580762,0.115795968,0.129585392
4/13/2015,0.130469385,0.115177214,0.110580762,0.136126588,0.110580762,0.115795968
4/20/2015,0.121276413,0.130469385,0.115177214,0.110580762,0.136126588,0.110580762
4/27/2015,0.1369221,0.121276413,0.130469385,0.115177214,0.110580762,0.136126588
5/4/2015,0.128524709,0.1369221,0.121276413,0.130469385,0.115177214,0.110580762
5/11/2015,0.133386332,0.128524709,0.1369221,0.121276413,0.130469385,0.115177214
5/18/2015,0.13771768,0.133386332,0.128524709,0.1369221,0.121276413,0.130469385
5/25/2015,0.140899865,0.13771768,0.133386332,0.128524709,0.1369221,0.121276413
6/1/2015,0.132148823,0.140899865,0.13771768,0.133386332,0.128524709,0.1369221
6/8/2015,0.128613121,0.132148823,0.140899865,0.13771768,0.133386332,0.128524709
6/15/2015,0.129938976,0.128613121,0.132148823,0.140899865,0.13771768,0.133386332
6/22/2015,0.13771768,0.129938976,0.128613121,0.132148823,0.140899865,0.13771768
6/29/2015,0.129497047,0.13771768,0.129938976,0.128613121,0.132148823,0.140899865
7/6/2015,0.116856719,0.129497047,0.13771768,0.129938976,0.128613121,0.132148823
7/13/2015,0.117033477,0.116856719,0.129497047,0.13771768,0.129938976,0.128613121
7/20/2015,0.137894438,0.117033477,0.116856719,0.129497047,0.13771768,0.129938976
7/27/2015,0.116679894,0.137894438,0.117033477,0.116856719,0.129497047,0.13771768
8/3/2015,0.1279943,0.116679894,0.137894438,0.117033477,0.116856719,0.129497047
8/10/2015,0.115530798,0.1279943,0.116679894,0.137894438,0.117033477,0.116856719
8/17/2015,0.12198358,0.115530798,0.1279943,0.116679894,0.137894438,0.117033477
8/24/2015,0.069566007,0.12198358,0.115530798,0.1279943,0.116679894,0.137894438
8/31/2015,0.076195548,0.069566007,0.12198358,0.115530798,0.1279943,0.116679894
9/7/2015,0.047732708,0.076195548,0.069566007,0.12198358,0.115530798,0.1279943
9/14/2015,0.066295409,0.047732708,0.076195548,0.069566007,0.12198358,0.115530798
9/21/2015,0.066118584,0.066295409,0.047732708,0.076195548,0.069566007,0.12198358
9/28/2015,0.046406787,0.066118584,0.066295409,0.047732708,0.076195548,0.069566007
10/5/2015,0.053036328,0.046406787,0.066118584,0.066295409,0.047732708,0.076195548
10/12/2015,0.083709015,0.053036328,0.046406787,0.066118584,0.066295409,0.047732708
10/19/2015,0.089719801,0.083709015,0.053036328,0.046406787,0.066118584,0.066295409
10/26/2015,0.105630659,0.089719801,0.083709015,0.053036328,0.046406787,0.066118584
11/2/2015,0.107575335,0.105630659,0.089719801,0.083709015,0.053036328,0.046406787
11/9/2015,0.119154912,0.107575335,0.105630659,0.089719801,0.083709015,0.053036328
11/16/2015,0.08379736,0.119154912,0.107575335,0.105630659,0.089719801,0.083709015
11/23/2015,0.113674534,0.08379736,0.119154912,0.107575335,0.105630659,0.089719801
11/30/2015,0.117298648,0.113674534,0.08379736,0.119154912,0.107575335,0.105630659
12/7/2015,0.115177214,0.117298648,0.113674534,0.08379736,0.119154912,0.107575335
12/14/2015,0.078493741,0.115177214,0.117298648,0.113674534,0.08379736,0.119154912
12/21/2015,0.075488381,0.078493741,0.115177214,0.117298648,0.113674534,0.08379736
12/28/2015,0.096084171,0.075488381,0.078493741,0.115177214,0.117298648,0.113674534
1/4/2016,0.087863538,0.096084171,0.075488381,0.078493741,0.115177214,0.117298648
1/11/2016,0.031910196,0.087863538,0.096084171,0.075488381,0.078493741,0.115177214
1/18/2016,0.009723313,0.031910196,0.087863538,0.096084171,0.075488381,0.078493741
1/25/2016,0.021656473,0.009723313,0.031910196,0.087863538,0.096084171,0.075488381
2/1/2016,0.035092381,0.021656473,0.009723313,0.031910196,0.087863538,0.096084171
2/8/2016,0.007955463,0.035092381,0.021656473,0.009723313,0.031910196,0.087863538
2/15/2016,0,0.007955463,0.035092381,0.021656473,0.009723313,0.031910196
2/22/2016,0.025987822,0,0.007955463,0.035092381,0.021656473,0.009723313
2/29/2016,0.041987093,0.025987822,0,0.007955463,0.035092381,0.021656473
3/7/2016,0.068151673,0.041987093,0.025987822,0,0.007955463,0.035092381
3/14/2016,0.078051812,0.068151673,0.041987093,0.025987822,0,0.007955463
3/21/2016,0.08636079,0.078051812,0.068151673,0.041987093,0.025987822,0
3/28/2016,0.079200908,0.08636079,0.078051812,0.068151673,0.041987093,0.025987822
4/4/2016,0.098294018,0.079200908,0.08636079,0.078051812,0.068151673,0.041987093
4/11/2016,0.086979545,0.098294018,0.079200908,0.08636079,0.078051812,0.068151673
4/18/2016,0.103420812,0.086979545,0.098294018,0.079200908,0.08636079,0.078051812
4/25/2016,0.109962007,0.103420812,0.086979545,0.098294018,0.079200908,0.08636079
5/2/2016,0.098559189,0.109962007,0.103420812,0.086979545,0.098294018,0.079200908
5/9/2016,0.093874324,0.098559189,0.109962007,0.103420812,0.086979545,0.098294018
5/16/2016,0.088924221,0.093874324,0.098559189,0.109962007,0.103420812,0.086979545
5/23/2016,0.093078744,0.088924221,0.093874324,0.098559189,0.109962007,0.103420812
5/30/2016,0.115177214,0.093078744,0.088924221,0.093874324,0.098559189,0.109962007
6/6/2016,0.117829057,0.115177214,0.093078744,0.088924221,0.093874324,0.098559189
6/13/2016,0.116149552,0.117829057,0.115177214,0.093078744,0.088924221,0.093874324
6/20/2016,0.10112262,0.116149552,0.117829057,0.115177214,0.093078744,0.088924221
6/27/2016,0.085653691,0.10112262,0.116149552,0.117829057,0.115177214,0.093078744
7/4/2016,0.115000456,0.085653691,0.10112262,0.116149552,0.117829057,0.115177214
7/11/2016,0.1279943,0.115000456,0.085653691,0.10112262,0.116149552,0.117829057
