Date,y_true,Arima,SVR,LSTM,RF,ANN,Arima + LSTM,Arima + ANN,Arima + SVR,Arima + RF,,,,,,,,,,,,,,,,,,,,
1/8/2018,3.695610369,3.720906685,3.655091875,3.696612397,3.633773379,3.788352682,3.765234218,3.786702225,3.746295574,3.838116886,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100
1/15/2018,6.784648578,6.885415849,6.747423003,6.843842085,6.685361377,7.042647213,6.981145976,7.015137178,6.922145265,7.138745501,3.089038209,3.164509165,3.092331128,3.147229688,3.051587997,3.254294531,3.215911758,3.228434953,3.175849691,3.300628615,3.09%,3.16%,3.09%,3.15%,3.05%,3.25%,3.22%,3.23%,3.18%,3.30%
1/22/2018,7.932835492,8.028988702,7.87429954,7.965618491,7.824615576,8.136777526,8.087128915,8.135676986,8.056515385,8.217075459,1.148186914,1.143572853,1.126876538,1.121776407,1.1392542,1.094130314,1.105982939,1.120539808,1.13437012,1.078329958,1.08%,1.07%,1.06%,1.05%,1.07%,1.02%,1.03%,1.05%,1.06%,1.01%
1/29/2018,20.5778327,20.68316545,20.31125136,20.62267302,20.11849331,21.4465736,21.23374263,21.32322087,20.96185188,21.92555693,12.64499721,12.65417675,12.43695182,12.65705453,12.29387773,13.30979608,13.14661372,13.18754388,12.9053365,13.70848147,11.72%,11.71%,11.53%,11.72%,11.40%,12.31%,12.16%,12.20%,11.94%,12.67%
2/5/2018,36.56225867,36.80401313,36.1219454,36.77182984,35.68068753,38.5499884,38.06818957,38.18786883,37.399596,39.58424116,15.98442597,16.12084767,15.81069404,16.14915682,15.56219422,17.10341479,16.83444694,16.86464797,16.43774412,17.65868423,13.26%,13.36%,13.14%,13.39%,12.96%,14.08%,13.89%,13.90%,13.59%,14.48%
2/12/2018,29.13178532,29.38633393,28.83879298,29.3076272,28.52807274,30.4986302,30.16882866,30.28206194,29.74868572,31.16318734,-7.430473346,-7.417679192,-7.283152418,-7.46420264,-7.152614789,-8.051358194,-7.899360911,-7.905806897,-7.650910281,-8.421053811,-5.44%,-5.42%,-5.35%,-5.46%,-5.27%,-5.81%,-5.72%,-5.72%,-5.57%,-6.03%
2/19/2018,25.06737709,25.22459847,24.76853023,25.14212431,24.53561234,26.101896,25.84989785,25.95982404,25.53618563,26.64843737,-4.064408232,-4.161735462,-4.070262756,-4.165502889,-3.992460398,-4.396734205,-4.31893081,-4.322237893,-4.21250009,-4.514749977,-3.15%,-3.22%,-3.16%,-3.22%,-3.11%,-3.37%,-3.32%,-3.32%,-3.25%,-3.44%
2/26/2018,29.37466944,29.54709102,29.00961873,29.47714,28.70966229,30.71855682,30.39145906,30.50969946,29.96230269,31.43555171,4.307292349,4.32249255,4.241088502,4.335015687,4.174049955,4.616660821,4.541561202,4.549875415,4.426117063,4.787114343,3.44%,3.45%,3.40%,3.46%,3.35%,3.66%,3.61%,3.61%,3.53%,3.78%
3/5/2018,23.65957919,23.95129786,23.48768245,23.84735477,23.24990079,24.66981089,24.42856529,24.53191485,24.15533527,25.09552159,-5.715090256,-5.59579316,-5.521936275,-5.629785231,-5.459761499,-6.048745928,-5.962893769,-5.977784602,-5.806967419,-6.340030118,-4.42%,-4.32%,-4.28%,-4.35%,-4.24%,-4.63%,-4.57%,-4.58%,-4.47%,-4.82%
3/12/2018,25.3603459,25.62194965,25.14179951,25.53177665,24.88436521,26.47250949,26.20555046,26.30969836,25.88428963,26.9791143,1.700766717,1.670651789,1.654117052,1.684421879,1.634464413,1.802698597,1.776985174,1.777783504,1.72895436,1.883592706,1.38%,1.35%,1.34%,1.36%,1.33%,1.45%,1.43%,1.43%,1.39%,1.51%
3/19/2018,40.00946078,40.01880725,39.33362216,39.96455685,38.95019116,41.8026953,41.35839159,41.52130159,40.73223066,42.9300389,14.64911488,14.3968576,14.19182265,14.43278021,14.06582595,15.33018581,15.15284113,15.21160323,14.84794103,15.9509246,11.69%,11.46%,11.34%,11.50%,11.26%,12.12%,12.01%,12.04%,11.79%,12.56%
